Noprestamo,Pais,Fechasistema,Producto,Empdeudor1,Empnombdeudor1,Formapgodeudor1,Descripformapgode1,Empdeudor2,Empnombdeudor2,Formapagdeudor2,FechaDesem,Fechacancelacion,Saldoprestamo,Tasaintorig,Tasaintact,Tipocartera,Diasmora,Anomes,Mtomescorr,Mto30dias,Mto60dias,Mto90dias,Mto120dias,Mto150dias,Mto180dias,Mto210dias,Mto240dias,Mto270dias,Mto300dias,Mto330dias,Mto360dias,Mtomas360dias,Saldoprogram,Tipoprestamo,Mtototalmora,Diasmorareal,Contagiadosn,Porcendeudamientotal,DelinquencySinAlivio,Monto CXC,Identificacion,aniomesfsubida,aniomesfdesem,fechasubidamesanterior
01-A-0162,SAL,202012,HIPOTECA,935,MINISTERIO DE EDUCACION - DEPARTAMENTAL DE SAN SAL,DD,Descuento Directo,NULL,NULL,NULL,2004-12-10,2009-03-25,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0163,SAL,202012,HIPOTECA,117,SECRETARIA TECNICA Y DE PLANIFICACION PRESIDENCIA,DD,Descuento Directo,NULL,NULL,NULL,2004-12-22,2005-11-24,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0165,SAL,202012,HIPOTECA,155,ASALARIADO EN OTRO PAIS QUE NO ES ESTADOS UNIDOS,ACH,Transferencia ACH,196,CLIENTE SIN EMPLEO,VOL,2004-08-14,2007-08-09,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0166,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,NULL,NULL,NULL,2005-01-14,2011-06-27,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20051,2020-11-01
01-A-0167,SAL,202012,HIPOTECA,108,HOSPITAL NACIONAL SAN RAFAEL,DD,Descuento Directo,NULL,NULL,NULL,2004-08-28,2008-01-30,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0169,SAL,202012,HIPOTECA,6377,MINISTERIO DE EDUCACION-DEPARTAMENTAL DE SANTA ANA,DD,Descuento Directo,NULL,NULL,NULL,2004-08-13,NULL,11840.06,7.50,10.43,Cartera Administrada,NULL,202012,23.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,23.62,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20048,2020-11-01
01-A-0171,SAL,202012,HIPOTECA,158,HILANDERIAS DE EXPORTACION SA,DD,Descuento Directo,3,AMA DE CASA,VOL,2005-02-23,NULL,9602.14,7.50,10.00,Cartera Administrada,NULL,202012,74.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,74.47,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20052,2020-11-01
01-A-0172,SAL,202012,HIPOTECA,6377,MINISTERIO DE EDUCACION-DEPARTAMENTAL DE SANTA ANA,VOL,Pago Voluntario,NULL,NULL,NULL,2004-08-21,NULL,10509.60,7.75,10.19,Cartera Administrada,NULL,202012,35.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,35.11,NULL,NO,NULL,61-90 DAYS,405.84,NULL,202012,20048,2020-11-01
01-A-0173,SAL,202012,HIPOTECA,6377,MINISTERIO DE EDUCACION-DEPARTAMENTAL DE SANTA ANA,DD,Descuento Directo,3,AMA DE CASA,VOL,2004-08-27,NULL,9937.36,7.75,9.55,Cartera Administrada,NULL,202012,18.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,18.15,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20048,2020-11-01
01-A-0174,SAL,202012,HIPOTECA,61,....................................,DD,Descuento Directo,NULL,NULL,NULL,2004-08-27,2008-01-30,NULL,7.75,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0175,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-11-26,2016-05-31,NULL,7.75,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200411,2020-11-01
01-A-0176,SAL,202012,HIPOTECA,164,CONSULTORES PROFESIONALES UNIDOS SA DE CV,VOL,Pago Voluntario,NULL,NULL,NULL,2004-12-10,2012-04-25,NULL,7.75,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0177,SAL,202012,HIPOTECA,160,COMEDICA DE R.L.,DD,Descuento Directo,97,ELITE SEGURIDAD ELECTRONICA,DD,2004-08-30,2005-12-14,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0178,SAL,202012,HIPOTECA,161,CORPORACION ESFINGE SA DE CV,DD,Descuento Directo,7190,"""INGENIERIA DE HIDROCARBUROS, S.A. DE C.V.""",DD,2004-11-26,2015-10-08,NULL,7.75,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200411,2020-11-01
01-A-0182,SAL,202012,HIPOTECA,7902,COMPRADOR DE DERECHO,VOL,Pago Voluntario,3,AMA DE CASA,VOL,2004-08-26,NULL,10078.13,7.50,10.72,Cartera Administrada,58,202012,153.88,166.60,166.60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,487.08,NULL,NO,NULL,121-150 DAYS,482.80,NULL,202012,20048,2020-11-01
01-A-0183,SAL,202012,HIPOTECA,135,QUIMICAS CONSOLIDADOS SA DE CV,DD,Descuento Directo,135,QUIMICAS CONSOLIDADOS SA DE CV,ACH,2004-10-02,2007-12-22,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200410,2020-11-01
01-A-0184,SAL,202012,HIPOTECA,41,ORGANO JUDICIAL PAGADURIA AUXILIAR DE SANTA ANA,DD,Descuento Directo,196,CLIENTE SIN EMPLEO,VOL,2004-08-23,2006-02-24,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0185,SAL,202012,HIPOTECA,170,PROCURADURIA GENERAL DE LA REPUBLICA,DD,Descuento Directo,NULL,NULL,NULL,2004-08-23,2015-05-29,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0186,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,ACH,Transferencia ACH,3,AMA DE CASA,N/A,2004-08-25,2010-04-24,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0187,SAL,202012,HIPOTECA,27,"""ETESAL, S.A. DE C.V.""",DD,Descuento Directo,935,MINISTERIO DE EDUCACION - DEPARTAMENTAL DE SAN SAL,DD,2004-09-03,NULL,13584.05,7.50,8.76,Cartera Administrada,NULL,202012,9.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,9.75,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20049,2020-11-01
01-A-0188,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,VOL,Pago Voluntario,NULL,NULL,NULL,2004-08-23,NULL,9571.84,7.50,9.85,Cartera Administrada,NULL,202012,2.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,2.58,NULL,NO,NULL,1-30 DAYS,310.33,NULL,202012,20048,2020-11-01
01-A-0189,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,VOL,Pago Voluntario,NULL,NULL,NULL,2004-09-24,2017-10-06,NULL,7.75,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0190,SAL,202012,HIPOTECA,71,CANAL DOS SA DE CV,DD,Descuento Directo,118,"""BANCO CUSCATLAN DE EL SALVADOR, S.A.""",DD,2004-08-25,2014-10-22,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0192,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,167,INDUPLAST SA DE CV,VOL,2004-08-31,2020-08-27,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,0.00,NULL,202012,20048,2020-11-01
01-A-0193,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,3,AMA DE CASA,N/A,2004-08-25,2020-12-17,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,0.00,NULL,202012,20048,2020-11-01
01-A-0194,SAL,202012,HIPOTECA,135,QUIMICAS CONSOLIDADOS SA DE CV,DD,Descuento Directo,NULL,NULL,NULL,2004-11-12,2005-07-21,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200411,2020-11-01
01-A-0195,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,178,ASOCIACION AGAPE DE EL SALVADOR,N/A,2004-10-29,2007-07-20,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200410,2020-11-01
01-A-0196,SAL,202012,HIPOTECA,7902,COMPRADOR DE DERECHO,VOL,Pago Voluntario,744,FUERA DEL PAIS,VOL,2004-09-10,NULL,40850.28,7.00,7.50,Cartera Administrada,80,202012,298.30,456.10,456.10,456.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,1666.60,NULL,NO,NULL,181-210 DAYS,1841.36,NULL,202012,20049,2020-11-01
01-A-0198,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,NULL,NULL,NULL,2004-09-16,2007-07-23,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0199,SAL,202012,HIPOTECA,93,ASOCIACION COMUNAL PARA LA EDUCACION,ACH,Transferencia ACH,NULL,NULL,NULL,2004-08-31,2007-06-14,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0201,SAL,202012,HIPOTECA,182,GRUPO INDUSTRIAL M H A,DD,Descuento Directo,39,INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,ACH,2004-09-10,2010-06-14,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0202,SAL,202012,HIPOTECA,38,SALONES DE BELLEZA Y EQUIPOS DE E.S. S.A DE C.V,DD,Descuento Directo,NULL,NULL,NULL,2004-08-31,2005-07-29,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20048,2020-11-01
01-A-0203,SAL,202012,HIPOTECA,188,CALDERON IBAÑEZ CONSULTORES SA DE CV,VOL,Pago Voluntario,3,AMA DE CASA,VOL,2004-09-10,2012-11-28,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0204,SAL,202012,HIPOTECA,183,CENTRO DE INVESTIGACIONES TECNOLOGICAS SA DE CV,DD,Descuento Directo,183,CENTRO DE INVESTIGACIONES TECNOLOGICAS SA DE CV,DD,2004-09-10,2007-05-21,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0205,SAL,202012,HIPOTECA,184,QUIMOSA SA DE CV,DD,Descuento Directo,184,QUIMOSA SA DE CV,N/A,2004-09-10,2007-09-07,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0206,SAL,202012,HIPOTECA,185,PAGADURIA AUXILAR DEL CODEM,DD,Descuento Directo,NULL,NULL,NULL,2004-09-10,2012-08-27,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0207,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,DD,Descuento Directo,6697,PROFESIONAL INDEPENDIENTE,VOL,2004-09-10,2015-08-31,NULL,7.00,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0208,SAL,202012,HIPOTECA,6377,MINISTERIO DE EDUCACION-DEPARTAMENTAL DE SANTA ANA,DD,Descuento Directo,3,AMA DE CASA,N/A,2004-09-17,NULL,9781.82,7.50,10.75,Cartera Administrada,NULL,202012,20.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,20.11,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20049,2020-11-01
01-A-0209,SAL,202012,HIPOTECA,74,POLICIA NACIONAL CIVIL,VOL,Pago Voluntario,NULL,NULL,NULL,2004-10-08,2014-04-30,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200410,2020-11-01
01-A-0212,SAL,202012,HIPOTECA,191,AVIPRO S.A. DE C.V.,DD,Descuento Directo,13,SISTEMAS BEA,N/A,2004-09-17,2008-09-17,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0213,SAL,202012,HIPOTECA,39,INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,DD,Descuento Directo,6682,HOSPITAL DE DIAGNOSTICO S.A DE C.V.,DD,2004-12-07,NULL,14792.64,7.50,9.87,Cartera Administrada,NULL,202012,18.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,18.62,NULL,NO,NULL,CURRENT,NULL,NULL,202012,200412,2020-11-01
01-A-0214,SAL,202012,HIPOTECA,192,SERVICIOS EMPRESARIALES SA DE CV,DD,Descuento Directo,NULL,NULL,NULL,2004-12-10,2007-03-05,NULL,7.75,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0217,SAL,202012,HIPOTECA,118,"""BANCO CUSCATLAN DE EL SALVADOR, S.A.""",DD,Descuento Directo,NULL,NULL,NULL,2004-12-14,2007-06-06,NULL,7.75,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0218,SAL,202012,HIPOTECA,576,"""GANO ITOUCH, SA DE CV""",VOL,Pago Voluntario,6193,"""DASCOR, S.A. DE C.V.""",VOL,2004-10-21,NULL,23540.04,7.00,8.84,Cartera en Libros,NULL,202012,96.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,96.66,NULL,NO,NULL,CURRENT,0.00,NULL,202012,200410,2020-11-01
01-A-0219,SAL,202012,HIPOTECA,53,CORTE SUPREMA DE JUSTICIA,DD,Descuento Directo,196,CLIENTE SIN EMPLEO,VOL,2004-09-30,NULL,44674.05,7.00,8.85,Cartera Administrada,NULL,202012,117.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,117.16,NULL,NO,NULL,CURRENT,235.10,NULL,202012,20049,2020-11-01
01-A-0220,SAL,202012,HIPOTECA,5822,AUTORIDAD MARITIMA PORTUARIA,VOL,Pago Voluntario,NULL,NULL,NULL,2004-09-24,2018-07-09,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0222,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-09-24,NULL,12580.59,7.50,10.50,Cartera Administrada,NULL,202012,25.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,25.26,NULL,NO,NULL,31-60 DAYS,450.26,NULL,202012,20049,2020-11-01
01-A-0223,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,13,SISTEMAS BEA,N/A,2004-09-28,2006-05-06,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0224,SAL,202012,HIPOTECA,322,CARTONESA SA DE CV,DD,Descuento Directo,3,AMA DE CASA,VOL,2004-09-24,2020-01-20,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0225,SAL,202012,HIPOTECA,50,"""HOSPITAL NACIONAL """"SAN JUAN DE DIOS""""""",DD,Descuento Directo,NULL,NULL,NULL,2004-09-24,2007-11-14,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0226,SAL,202012,HIPOTECA,93,ASOCIACION COMUNAL PARA LA EDUCACION,VOL,Pago Voluntario,NULL,NULL,NULL,2004-09-28,NULL,11316.52,7.50,10.53,Cartera Administrada,NULL,202012,9.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,9.77,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20049,2020-11-01
01-A-0227,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-12-14,2018-01-16,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0228,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,NULL,NULL,NULL,2004-11-30,2007-10-15,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200411,2020-11-01
01-A-0229,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,6697,PROFESIONAL INDEPENDIENTE,VOL,2005-01-25,NULL,530.96,7.50,8.72,Cartera en Libros,NULL,202012,1.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,1.90,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20051,2020-11-01
01-A-0230,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,ACH,Transferencia ACH,204,"""KUO HUA, SA DE CV""",VOL,2004-09-29,2011-12-15,NULL,7.00,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20049,2020-11-01
01-A-0231,SAL,202012,HIPOTECA,268,INDUSTRIAS MIKE MIKE SA DE CV,DD,Descuento Directo,207,ENASA INGENIEROS SA DE CV,DD,2005-01-21,2009-05-07,NULL,7.75,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20051,2020-11-01
01-A-0232,SAL,202012,HIPOTECA,267,SANTA ANA APPAREL LIMITADA DE CV,ACH,Transferencia ACH,206,"""TEXTILES LOURDES LIMITADA, PLANTA IZALCO""",DD,2004-12-10,2012-05-24,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0233,SAL,202012,HIPOTECA,15,PENSIONADO,VOL,Pago Voluntario,NULL,NULL,NULL,2004-12-10,NULL,8179.62,7.50,10.75,Cartera Administrada,NULL,202012,7.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,7.21,NULL,NO,NULL,CURRENT,NULL,NULL,202012,200412,2020-11-01
01-A-0234,SAL,202012,HIPOTECA,14,MINISTERIO DE EDUCACION - DEPARTAMENTAL DE SAN VIC,DD,Descuento Directo,13,SISTEMAS BEA,N/A,2004-12-14,2006-03-21,NULL,7.75,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
01-A-0235,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-10-01,NULL,53348.14,7.00,8.89,Cartera Administrada,2924,202012,217.01,515.26,515.26,515.26,515.26,515.26,515.26,515.26,515.26,515.26,515.26,515.26,515.26,44312.36,4321.29,HIP,50712.49,NULL,NO,NULL,+ 361 DAYS,NULL,NULL,202012,200410,2020-11-01
01-A-0236,SAL,202012,HIPOTECA,208,STITCH,DD,Descuento Directo,159,INSTITUTO NACIONAL DE COLONIA SANTA LUCIA,DD,2004-10-09,2005-12-12,NULL,7.75,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200410,2020-11-01
